"X..ve.word.count.","X..ve.word.count..1","X.overall.polarity.","X.times.change.in.pol.","X.largest...cont.","X.largest...cont..1","X.capital.letters.","X.punctuation.","emoji_count","laughter_exp_count"
1,0,1,0,1,0,5,0,23,0
0,0,0,0,0,0,11,0,28,0
0,0,0,0,0,0,5,0,26,0
1,0,1,0,1,0,2,1,11,0
1,0,2,0,1,0,5,0,23,0
1,0,1,0,1,0,2,0,14,0
0,0,0,0,0,0,4,0,24,0
0,0,0,0,0,0,4,1,14,0
0,0,0,0,0,0,11,0,17,0
0,0,0,0,0,0,11,0,20,0
0,2,-2,0,0,2,14,0,33,0
1,0,1,0,1,0,4,2,15,0
0,0,0,0,0,0,11,0,20,0
0,0,0,0,0,0,1,0,11,0
0,0,0,0,0,0,8,0,24,0
1,0,2,0,1,0,11,0,28,0
0,0,0,0,0,0,18,0,30,0
0,0,0,0,0,0,3,3,15,0
